,Pointy Nosed,}:^#),
,Poker Face,:-I,
,Pop-Tart,[::::],
,popcorn,****,
,Pope,+O=-),
,Popeye,:-\,
,Popeye gets his lights punched out,;-\,
,"Popeye smiling face, for people who look like popeye",:-\,
,Pouting,:-T,
,pouting,:-[,
,Pouting Variation,:-[,
,Praise The Lord,O/,
,Praying,[-o<,
,pretzels,&&&&,
,Prince,\<><>/,
,Princess,~<:-),
,Princess,\&&&/,
,Prizefighter,;~[,
,PSP,(+[ ]-:-),
,punched in the mouth,:-#,
,Put Em Up,Q('.'Q),
,Put Your Money Where Your Mouth Is,:-$,
,put your money where your mouth is,:-($),
,Queen,\%%%/,
,Rabbit, (___)0,
,Raised Eyebrow,/:),
,Rasberry,:-R,
,Rat,--- :,
,real sad smiley,:-<,
,Real sad Smiley,:-<,
,Real Unhappy,:-C,
,Really Bummed Out,~:-(,
,really bummed out,:-C,
,Really confused,:-$,
,Really Happy,0,
,Really Happy,:-)),
,Red Crayon,()_RED_(>,
,Red Heart,(l),
,Red Lips,(k),
,Red Rose,(f),
,Reindeer,}---:o>,
,Religious leader,+-(:-),
,Reproduction,~o),
,Revenge,>=D,
,Right Hug,(}),
,robot,<(-_-)>,
,Robot,[:],
,Rocker,\m/>.<\m/,
,Rocker,\m/(**)\m/,
,Rocker,\m/ >_< \m/,
,Rocking,>-D,
,Rocking,"\w/^^,\w/",
,Rocking,\m/,
,Rolling Eyes,9_9,
,Rolling Eyes,8-|,
,Rolling Eyes,>>,
,Ronald Reagan,7:),
,Ronald Reagan,7:-),
,Ronald Reagan,7:^],
,Rose,@~'~~~,
,Rose,@~)~~~~,
,Rose,@>-;--,
,rose,"@}>-'-,--",
,Rose,@};-,
,Rose,@};---,
,Rose,@}->--,
,Rose,@)->-,
,rose,@->--,
,rose,@-}----,
,"rose, opening with leaves",@>;-----,
,Rudolph the reindeer,3:*>,
,Sad,Y_Y,
,Sad,T.T,
,Sad,D=,
,Sad,D:,
,sad,(<_>),
,Sad,:c,
,sad,:*(,
,sad,:[,
,sad,:(,
,Sad,:-(,
,Sailor,/:-),
,Santa Claus,*<|:-{)},
,Santa Claus,*<|:-),
,Santa Claus,*<|:^) },
,Santa Claus,*<:-),
,Santa Claus (Ho Ho Ho),*<|:-),
,Sarcastic,:-7,
,sarcastic,;->,
,Sarcastic,^o),
,schizophrenic,*!#*!^*&:-),
,Scholar,!:-),
,Scissors,8<,
,scream,:-@,
,screaming,:-@,
,scuba diver,0-),
,Scuba Smiley big-face,)8-),
,Sea Horse,\';./,
,secret smile,(-_-),
,Secret Telling,:-*,
,Seeing Double,::=)),
,Seeing Eye to Eye,8==8,
,Sees Money,$-),
,Semi-Smile,:-I,
,Semi-Smiley,:-i,
,Sender Has Curly Hair,&:-),
,Sender Is Left-handed,(-:,
,Sender Wears Glasses,8-),
,Shame on You,[-x,
,Shark,"<((("">",
,Shaved Left Eyebrow,",:-)",
,Shocked,o_o,
,Shocked,35277,
,Shocked,*SHOCKED*,
,shocked,:-o,
,"shocked, surprised",:-O,
,Shot Between The Eyes,+-(,
,Shoulder Shrug,^^,
,Shouting,:-V,
,Shy,(*^_^*),
,Siamese twins,(-::-),
,Sick,:-s,
,Sick,:-&,
,Sick Comment,:-(*),
,Side Comment,:-Y,
,Sigh,:-<,
,Silly,8-},
,silly nose,(c:,
,Singing,(^o^),
,Singing,:O,
,Singing,:-o,
,singing or laughing,(^o^),
,Single Hair,~:-P,
,Skateboarder,o{-<]:,
,Skateboarder,O-\-<]:,
,Skateboarder,0-<-<):,
,Skater,o<[^(,
,skeptical,:-/,
,skeptical,;-/,
,Skeptical Again,:-/,
,Skeptical Variation,:-7,
,Skull,8-X,
,Sleeping,(>.<) zzZ,
,Sleeping Half-Moon,(s),
,Sleepy,u_u,
,Sleepy,|-),
,Sleepy,#),
,Sleepy,(>.<),
,Slept Too Long,"#(,'%/)",
,sly,%-),
,Smile,C:,
,Smile,[______],
,smile,:o),
,Smile,:|),
,smile,:),
,Smile,:-),
,smile and wearing sunglasses,B-),
,smiley,(^_^),
,Smiley After Smoking A Banana,O-),
,smiley banker,:-%,
,Smiley big-face,(:-),
,Smiley blockhead,:-],
,smiley licking it’s lips,:-9,
,Smiley priest,+:-),
,smiley smoking a pipe,:-?,
,smiley standard,:-),
,smiley with braces,(:-#,
,Smiley With Hair,):-),
,Smiley with its hair parted in the middle,{:-),
,Smiley with ponce-nez glasses,g-),
,Smiling,:^J,
,Smiling,^&^,
,Smiling,^^,
,Smirk,:-1,
,Smirk,":-,",
,Smirking,":^,",
,Smirking,;^),
,Smoker,:-Q,
,smokes a pipe,:-7,
,Smoking,:-Q,
,smoking,:-d,
,smoking a pipe,:-?,
,Smug,:>,
,Snail,@x,
